State,Percentage,Date
Aguascalientes,3.35009144,2020/03/01
Aguascalientes,4.533646689,2020/06/01
Aguascalientes,5.19230267,2020/09/01
Aguascalientes,5.1975375,2020/12/01
Aguascalientes,3.6224,2021/03/01
Aguascalientes,3.8716,2021/06/01
Aguascalientes,4.6257,2021/09/01
Aguascalientes,4.37725905,2021/12/01
Aguascalientes,3.5197,2022/03/01
Aguascalientes,3.7681975,2022/06/01
Aguascalientes,4.03922817,2022/09/01
Aguascalientes,3.76755537,2022/12/01
Aguascalientes,3.0196229,2023/03/01
Aguascalientes,3.19796438,2023/06/01
Aguascalientes,3.17738151,2023/09/01
Baja California,2.16797834,2020/03/01
Baja California,3.723552824,2020/06/01
Baja California,2.74816797,2020/09/01
Baja California,2.88007377,2020/12/01
Baja California,2.5548,2021/03/01
Baja California,2.4467,2021/06/01
Baja California,2.8795,2021/09/01
Baja California,2.04350548,2021/12/01
Baja California,1.9105,2022/03/01
Baja California,2.50983702,2022/06/01
Baja California,2.59254362,2022/09/01
Baja California,2.70224496,2022/12/01
Baja California,1.71221553,2023/03/01
Baja California,2.30742776,2023/06/01
Baja California,2.43888782,2023/09/01
Baja California Sur,3.83703067,2020/03/01
Baja California Sur,6.049383017,2020/06/01
Baja California Sur,7.38777833,2020/09/01
Baja California Sur,5.42496952,2020/12/01
Baja California Sur,4.9818,2021/03/01
Baja California Sur,4.4095,2021/06/01
Baja California Sur,4.2548,2021/09/01
Baja California Sur,2.59219868,2021/12/01
Baja California Sur,2.8748,2022/03/01
Baja California Sur,2.73295353,2022/06/01
Baja California Sur,2.86790431,2022/09/01
Baja California Sur,2.85078533,2022/12/01
Baja California Sur,2.7593624,2023/03/01
Baja California Sur,2.70069693,2023/06/01
Baja California Sur,3.18615749,2023/09/01
Campeche,2.78253495,2020/03/01
Campeche,4.727600453,2020/06/01
Campeche,3.8260798,2020/09/01
Campeche,3.38969223,2020/12/01
Campeche,2.9264,2021/03/01
Campeche,2.8953,2021/06/01
Campeche,3.057,2021/09/01
Campeche,2.95580352,2021/12/01
Campeche,3.0681,2022/03/01
Campeche,2.95330073,2022/06/01
Campeche,2.2977209,2022/09/01
Campeche,1.97640992,2022/12/01
Campeche,1.7623954,2023/03/01
Campeche,1.75904768,2023/06/01
Campeche,1.81924446,2023/09/01
Coahuila de Zaragoza,4.7671923,2020/03/01
Coahuila de Zaragoza,4.949823799,2020/06/01
Coahuila de Zaragoza,7.37166942,2020/09/01
Coahuila de Zaragoza,6.15794392,2020/12/01
Coahuila de Zaragoza,5.111,2021/03/01
Coahuila de Zaragoza,4.8421,2021/06/01
Coahuila de Zaragoza,4.9301,2021/09/01
Coahuila de Zaragoza,4.80892003,2021/12/01
Coahuila de Zaragoza,5.0227,2022/03/01
Coahuila de Zaragoza,4.02556783,2022/06/01
Coahuila de Zaragoza,4.24342442,2022/09/01
Coahuila de Zaragoza,3.41465789,2022/12/01
Coahuila de Zaragoza,3.62833223,2023/03/01
Coahuila de Zaragoza,3.70272669,2023/06/01
Coahuila de Zaragoza,3.87742458,2023/09/01
Colima,3.12872171,2020/03/01
Colima,5.67498839,2020/06/01
Colima,4.14452648,2020/09/01
Colima,3.80916462,2020/12/01
Colima,3.2056,2021/03/01
Colima,3.1979,2021/06/01
Colima,2.9165,2021/09/01
Colima,3.12393499,2021/12/01
Colima,2.7712,2022/03/01
Colima,2.56226011,2022/06/01
Colima,2.6098454,2022/09/01
Colima,2.3576337,2022/12/01
Colima,2.13477577,2023/03/01
Colima,2.20655045,2023/06/01
Colima,2.55965326,2023/09/01
Chiapas,2.58385954,2020/03/01
Chiapas,5.557956105,2020/06/01
Chiapas,3.39902156,2020/09/01
Chiapas,2.72577533,2020/12/01
Chiapas,3.1742,2021/03/01
Chiapas,2.9087,2021/06/01
Chiapas,3.2826,2021/09/01
Chiapas,3.33130896,2021/12/01
Chiapas,2.4995,2022/03/01
Chiapas,2.58906444,2022/06/01
Chiapas,2.2884669,2022/09/01
Chiapas,2.3269792,2022/12/01
Chiapas,2.48800961,2023/03/01
Chiapas,1.83913388,2023/06/01
Chiapas,2.47877126,2023/09/01
Chihuahua,3.49113933,2020/03/01
Chihuahua,3.003372291,2020/06/01
Chihuahua,4.69779716,2020/09/01
Chihuahua,3.73506768,2020/12/01
Chihuahua,3.9755,2021/03/01
Chihuahua,3.6124,2021/06/01
Chihuahua,3.0286,2021/09/01
Chihuahua,2.86672567,2021/12/01
Chihuahua,2.5998,2022/03/01
Chihuahua,2.45553268,2022/06/01
Chihuahua,2.46536404,2022/09/01
Chihuahua,1.98905534,2022/12/01
Chihuahua,2.78441477,2023/03/01
Chihuahua,2.47851791,2023/06/01
Chihuahua,2.81497544,2023/09/01
Distrito Federal,4.72524353,2020/03/01
Distrito Federal,6.030080467,2020/06/01
Distrito Federal,7.99090486,2020/09/01
Distrito Federal,6.63142113,2020/12/01
Distrito Federal,7.3091,2021/03/01
Distrito Federal,7.2567,2021/06/01
Distrito Federal,6.9911,2021/09/01
Distrito Federal,5.89173317,2021/12/01
Distrito Federal,5.8477,2022/03/01
Distrito Federal,5.3983559,2022/06/01
Distrito Federal,5.25199988,2022/09/01
Distrito Federal,4.53060485,2022/12/01
Distrito Federal,3.75255087,2023/03/01
Distrito Federal,4.36954728,2023/06/01
Distrito Federal,4.06649644,2023/09/01
Durango,4.05511618,2020/03/01
Durango,4.529016958,2020/06/01
Durango,4.80873032,2020/09/01
Durango,4.87684575,2020/12/01
Durango,4.1499,2021/03/01
Durango,4.5947,2021/06/01
Durango,4.2108,2021/09/01
Durango,3.43067597,2021/12/01
Durango,3.5752,2022/03/01
Durango,3.26514005,2022/06/01
Durango,3.25674844,2022/09/01
Durango,3.08719657,2022/12/01
Durango,2.9873727,2023/03/01
Durango,2.87200783,2023/06/01
Durango,3.0968583,2023/09/01
