Month,Title,,Fecha,Mes,Employed,Trend,Serie sin tendencia,,,
1990 ene.,Retail Trade,,ene-90,,13255.8,,,,,
1990 feb.,Retail Trade,,feb-90,,12966.3,,,,,
1990 mar.,Retail Trade,,mar-90,,12938.2,,,,,
1990 abr.,Retail Trade,,abr-90,,13012.3,,,,,
1990 may.,Retail Trade,,may-90,,13108.3,,,,,
1990 jun.,Retail Trade,,jun-90,,13182.8,,,,,
1990 jul.,Retail Trade,,jul-90,,13170.1,,,,,
1990 ago.,Retail Trade,,ago-90,,13159.5,,,,,
1990 sep.,Retail Trade,,sep-90,,13113.4,,,,,
1990 oct.,Retail Trade,,oct-90,,13185.2,,,,,
1990 nov.,Retail Trade,,nov-90,,13461.9,,,,,
1990 dic.,Retail Trade,,dic-90,,13673.1,,,,,
1991 ene.,Retail Trade,,ene-91,,13068.3,,,,,
1991 feb.,Retail Trade,,feb-91,,12744.2,,,,,
1991 mar.,Retail Trade,,mar-91,3.00,12684.5,12977,-292,,1,-93.71890166
1991 abr.,Retail Trade,,abr-91,4.00,12687,12962,-275,,2,-268.0291188
1991 may.,Retail Trade,,may-91,5.00,12780.6,12956,-176,,3,-225.3651478
1991 jun.,Retail Trade,,jun-91,6.00,12859,12952,-93,,4,-163.7834975
1991 jul.,Retail Trade,,jul-91,7.00,12849.1,12944,-95,,5,-71.58472906
1991 ago.,Retail Trade,,ago-91,8.00,12871.3,12936,-65,,6,-1.549384236
1991 sep.,Retail Trade,,sep-91,9.00,12823,12935,-112,,7,-8.358497537
1991 oct.,Retail Trade,,oct-91,10.00,12885.6,12943,-58,,8,-10.74112388
1991 nov.,Retail Trade,,nov-91,11.00,13150.8,12933,218,,9,-101.191954
1991 dic.,Retail Trade,,dic-91,12.00,13391.1,12919,473,,10,2.000510856
1992 ene.,Retail Trade,,ene-92,1.00,12788.6,12900,-112,,11,361.3974457
1992 feb.,Retail Trade,,feb-92,2.00,12586.1,12876,-289,,12,550.6139208
1992 mar.,Retail Trade,,mar-92,3.00,12547.8,12848,-300,,,
1992 abr.,Retail Trade,,abr-92,4.00,12636.3,12844,-208,,,
1992 may.,Retail Trade,,may-92,5.00,12740.4,12854,-113,,,
1992 jun.,Retail Trade,,jun-92,6.00,12825.1,12866,-41,,,
1992 jul.,Retail Trade,,jul-92,7.00,12804.9,12879,-74,,,
1992 ago.,Retail Trade,,ago-92,8.00,12810.6,12892,-82,,,
1992 sep.,Retail Trade,,sep-92,9.00,12783.9,12913,-129,,,
1992 oct.,Retail Trade,,oct-92,10.00,12890.4,12944,-54,,,
1992 nov.,Retail Trade,,nov-92,11.00,13147.6,12954,194,,,
1992 dic.,Retail Trade,,dic-92,12.00,13411.8,12960,451,,,
1993 ene.,Retail Trade,,ene-93,1.00,12849.3,12966,-117,,,
1993 feb.,Retail Trade,,feb-93,2.00,12701.7,12967,-265,,,
1993 mar.,Retail Trade,,mar-93,3.00,12654.3,12963,-309,,,
1993 abr.,Retail Trade,,abr-93,4.00,12745.3,12985,-240,,,
1993 may.,Retail Trade,,may-93,5.00,12864.2,13016,-152,,,
1993 jun.,Retail Trade,,jun-93,6.00,12975,13051,-76,,,
1993 jul.,Retail Trade,,jul-93,7.00,13009.2,13084,-74,,,
1993 ago.,Retail Trade,,ago-93,8.00,13048.2,13118,-69,,,
1993 sep.,Retail Trade,,sep-93,9.00,13048.6,13161,-113,,,
1993 oct.,Retail Trade,,oct-93,10.00,13175.2,13216,-41,,,
1993 nov.,Retail Trade,,nov-93,11.00,13457.5,13249,208,,,
1993 dic.,Retail Trade,,dic-93,12.00,13755.5,13276,479,,,
1994 ene.,Retail Trade,,ene-94,1.00,13152.8,13299,-146,,,
1994 feb.,Retail Trade,,feb-94,2.00,13014.9,13316,-301,,,
1994 mar.,Retail Trade,,mar-94,3.00,13051.4,13328,-277,,,
1994 abr.,Retail Trade,,abr-94,4.00,13165.3,13364,-198,,,
1994 may.,Retail Trade,,may-94,5.00,13295,13404,-109,,,
1994 jun.,Retail Trade,,jun-94,6.00,13428.9,13447,-18,,,
1994 jul.,Retail Trade,,jul-94,7.00,13485.9,13487,-1,,,
1994 ago.,Retail Trade,,ago-94,8.00,13549.4,13526,23,,,
1994 sep.,Retail Trade,,sep-94,9.00,13581.4,13574,8,,,
1994 oct.,Retail Trade,,oct-94,10.00,13726.3,13628,98,,,
1994 nov.,Retail Trade,,nov-94,11.00,14096.8,13658,438,,,
1994 dic.,Retail Trade,,dic-94,12.00,14380.3,13682,698,,,
1995 ene.,Retail Trade,,ene-95,1.00,13775.2,13702,73,,,
1995 feb.,Retail Trade,,feb-95,2.00,13579.5,13714,-134,,,
1995 mar.,Retail Trade,,mar-95,3.00,13539.2,13722,-183,,,
1995 abr.,Retail Trade,,abr-95,4.00,13654.1,13755,-101,,,
1995 may.,Retail Trade,,may-95,5.00,13757.5,13794,-36,,,
1995 jun.,Retail Trade,,jun-95,6.00,13874.5,13832,42,,,
1995 jul.,Retail Trade,,jul-95,7.00,13878.2,13866,12,,,
1995 ago.,Retail Trade,,ago-95,8.00,13908.2,13902,6,,,
1995 sep.,Retail Trade,,sep-95,9.00,13894,13945,-51,,,
1995 oct.,Retail Trade,,oct-95,10.00,14006.1,13996,10,,,
1995 nov.,Retail Trade,,nov-95,11.00,14347,14020,327,,,
1995 dic.,Retail Trade,,dic-95,12.00,14588.5,14035,554,,,
1996 ene.,Retail Trade,,ene-96,1.00,13927.7,14046,-118,,,
1996 feb.,Retail Trade,,feb-96,2.00,13730.7,14046,-316,,,
1996 mar.,Retail Trade,,mar-96,3.00,13748.1,14042,-293,,,
1996 abr.,Retail Trade,,abr-96,4.00,13811.7,14061,-249,,,
1996 may.,Retail Trade,,may-96,5.00,13993.7,14088,-94,,,
1996 jun.,Retail Trade,,jun-96,6.00,14107.5,14117,-10,,,
1996 jul.,Retail Trade,,jul-96,7.00,14136,14141,-5,,,
1996 ago.,Retail Trade,,ago-96,8.00,14167.3,14168,-1,,,
1996 sep.,Retail Trade,,sep-96,9.00,14153.5,14204,-50,,,
1996 oct.,Retail Trade,,oct-96,10.00,14327.7,14248,79,,,
1996 nov.,Retail Trade,,nov-96,11.00,14692,14267,425,,,
1996 dic.,Retail Trade,,dic-96,12.00,14956.2,14279,677,,,
1997 ene.,Retail Trade,,ene-97,1.00,14227.1,14287,-60,,,
1997 feb.,Retail Trade,,feb-97,2.00,14023.4,14286,-263,,,
1997 mar.,Retail Trade,,mar-97,3.00,14039.9,14282,-242,,,
1997 abr.,Retail Trade,,abr-97,4.00,14118.7,14304,-186,,,
